DOI,Article ID,Analysis_ID,Title,Authors,Year,Journal,Country,Continent,Types of study,N,Population,Sex,Population subgroup,Inclusion criteria,Mean_Age,Range_Age,Mean_BMI,Range_BMI,Type of sport practice,Subcategory of sport,Sport_name,Number of sport studied,Sport level,Sporting population,Mean_Exercise frequency,Range_Exercise frequency,Mean_Years of experience,Range_Years of experience,DSM classification,DEAB,Specifications of DEAB,DEAB_measure,DEAB_CLASS,DEAB_sub-class 1,DEAB_sub-class 2,DEAB_sub-class 3,DEAB_final_sub-class,Related_Factor,Specifications of related factor,Related_Factor_measure,Related_Factor_CLASS,Related_Factor_sub-class 1,Related_Factor_sub-class 2,Related_Factor_sub-class 3,Related_Factor_sub-class 4,Related_Factor_sub-class 5,Related_Factor_final_sub-class,Mediator,Specification mediator,Measure Mediator,Moderator,Measure Moderator,Type of analysis,Group of statistical analysis,N mobilized in analyses,Degree of relationship,Complexity of Analysis,Direction of the relationship,Analysis subgroup,Authors' conclusions,Limits,Perspectives,effectSize
10.1186/s40798-025-00920-y,63,702,Function over form: a longitudinal study of predictors and mediation pathways for disordered eating in elite athletes,"Fatt, S.J., Hay, P., George, E., Jeacocke, N., Rogers, K., Mitchison, D.",2025,Sports Medicine,"Australia
United States of America",Multiple countries,Longitudinal,178,Athletes,Mixed,Males T1 N=47 Males T2 N=25 Males T3 N=22 Females T1 N=126 Females T2 N=83 Females T3 N=63 Other T1 N=1 Other T2 N=1,"Adult athletes who had competed at a national, international, professional, or NCAA D1 level","M=23.9, SD=7",N.A.,N.A.,N.A.,Mixed sport,Multisport,Lean sport and non-lean sport,Multiple,Professional,"National, international, professional, or NCAA D1 level",N.A.,N.A.,N.A.,N.A.,EDNOS,Disordered eating,T3,Athletic Disordered Eating (ADE),DEAB,Disordered eating,N.A.,N.A.,Disordered eating,Drive for leanness for performance,T1,ATHLETE questionnaire,DEAB,Behavioral dimension of body image,Drive for leanness,Drive for leanness for performance,N.A.,N.A.,Drive for leanness for performance,Disordered eating,T2,Athletic Disordered Eating (ADE),,,Multiple regression model,Model-based analyses,178,"Model controlling for gender T1 drive for leanness for performance-T2 disordered eating 𝛃=.20, p=.006 T1 drive for leanness for performance-T3 disordered eating 𝛃=.21, p=.025",Complex analyses,NA,NA,"Disordered eating in elite athletes is predicted by sport-specific weight pressures and drive for leanness for performance, rather than societal pressures or body image concerns. This suggests that athlete-specific mechanisms differ from those in the general population","The study had a limited and somewhat biased sample (mainly female, Western athletes) and insufficient power to test moderating factors like gender. Measurement choices and attrition may also affect the robustness of findings",Future research should test these models in more diverse and younger athlete populations and explore additional factors like perfectionism. Interventions should focus on performance-related beliefs and sport environments rather than appearance-based concerns,N.A.
10.1016/j.scispo.2013.04.001,176,1856,Effect of achievement goals on Female aesthetic athletes disordered eating attitudes,"Scoffier-Mériaux, S., Corrion, K., & d'Arripe-Longueville, F.",2013,Science & Sports,France,Europe,Cross-sectional studies,196,Athletes,Female,N.A.,French high-level Female athletes aged from 13 to 20 years old; practiced gymnastics or figure skating intensively with a minimum of five years of experience in national or international competition,"M=17.06, SD=4.41",N.A.,N.A.,N.A.,Individual sport,Aesthetic,gymnastics; figure skating,Multiple,Professional,Elite (national or international competition),"M=8.65h/week, SD=5.55",N.A.,"M=8.75, SD=2.40",N.A.,EDNOS,Disordered eating attitudes,N.A.,Eating Attitudes Test (EAT-26),DEAB,Disordered eating,Disordered eating attitudes,N.A.,Disordered eating attitudes,Performance avoidance goal,N.A.,Achievement Goals Questionnaire ,Intrapersonal factor related to DEAB,Motivation,Achievement goals,Performance goal,Performance avoidance goal,N.A.,Performance avoidance goal,,N.A.,,,,Correlation,Correlation,196,"r=-.53, p<.05",Simple analyses,-,NA,Performance approach goals were positive predictors of emerging disordered eating attitudes. Mastery avoidance goals were also positive predictors of disordered eating attitudes. Performance avoidance was a protective factor. A relationship between mastery approach and disturbed eating attitudes did not emerge in the structural equation model or the correlation table. ,"The data were self reported, suggesting the likelihood that social desirability was operative. The study was cross sectional, conclusions about causality cannot be inferred. The athletes scores on the eating psychopathology measure indicated relatively healthy attitudes, it is unclear whether the relationships observed would extend to athletes with more severe eating disorders. The generalization of the results is limited to the Female gender and an elite level. The participants ages and competition experience were not controlled. ","Future studies might investigate whether the relationships can be generalized to athletes in other types of sport or to other types of population, as well as the aforementioned variables that could play a moderation or mediation role in this relationship. Future studies could replicate with a sample of non-athletic controls, as well as a clinical sample in order to determine whether the mechanisms involved in the eating psychopathology of athletes are also operative in the general population and patients with eating disorders. The contextual and temporal dimensions could be considered, with future studies examining the current eating behavior, with a temporal control especially concerning the current goals. 
Programs could be adapted to encourage an orientation toward task mastery as a means to protect from disordered eating attitudes. ",strong
10.1016/j.psychsport.2008.07.002 ,105,1063,Achievement goal theory and disordered eating: relationships of disordered eating with goal orientations and motivation climate in Female gymnasts and dancers,"Karin de Bruin, A.P., Bakker, F.C., & Oudejans, R.R.D.",2009,Psychology of Sport and Exercise,Netherlands,Europe,Cross-sectional studies,94,Athletes,Female,N.A.,Only high level aesthetic performers who did not participate in additional competitive sport activities were included. ,"M=15.1, SD=1.4",N.A.,"M=18.52, SD=1.86 ",[14.61-23.67],Individual sport,Aesthetic,"Dance, gymnastics",Multiple,Professional,N.A.,"M=16.7 hours per week, SD=6.7
Gymnasts M=18.1, SD=7.8
Dancers M=14.4, SD=3.28",N.A.,N.A.,N.A.,EDNOS,Dieting,N.A.,9-point-scale running from 1(never) to 9(always) with the following item Are you trying yo lose weight ?,DEAB,Restrictions,Dieting,N.A.,Dieting,Task orientation,N.A.,Task and Ego Orientation in Sport Questionnaire (TEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Mastery goal,Task orientation,N.A.,Task orientation,,N.A.,,,,Correlation,Correlation,94,"r=.18, ns ",Simple analyses,NS,NA,"Ego orientation and performance climate were related to more frequent dieting, using more pathogenic weight control methods, greater perfectionism and perceiving more weight related peer pressure. Having a high ego orientation means that a Female aesthetic performer is sgnificantly more likely to report indices of disordered eating. Non-significant correlations were found between task orientation and DE. With respect to performance climate, significant relationships were found with all DE variables. The present study also shows that a mastery climate is negatively related to disordered eating. Mastery climate explained some of the variance of dieting frequency. ","A limitation in the present study was that we used a relatively crude measure for pathogenic weight control with limited reliability. Another limitation was that we had to confine ourselves to self-reported height and weight because objective measurement of body composition was perceived as too threatening form some aesthetic performers. Self-report holds the risk of both under or overstimation. Another constraint in the present study was the composition of our sample. As the number of high level competitive gymnasts in the Netherlands is limited, we also investigated a group of high level Female dancers. ","In future studes focusing exclusively on relationships between eating disorders or disordered eating with achievement motivation, full versions of general or sport specific measures could be administered such as the Eating Disorder Inventory-2 or the Female Athlete Screening Tool for disordered eating. Future studies should continue to making an effort to include objective measurements by the researchers or recent actual data provided by medical staff members. The observed relationships of this study should be replicated in future studies using larger samples of various athletes at risk for disordered eating. Roberts (2001) stated that a high ego orientation is particularly detrimental if it is accompanied by a low task orientation. Future research should further investigate if this is also true for disordered eating. To gain a more complete understanding of the relationship between ego orientation and disordered eating, future studies could also include the more recent 2 by 2 framework which not only distinguishes between ego and task orientation but also between approach and avoidance achievmalet goals. We therefore recommaled that coaches and teachers should create a mastery climate with its emphasis on personal development and interpersonal cooperation. ",N.S.
10.1016/j.psychsport.2008.07.002 ,105,1062,Achievement goal theory and disordered eating: relationships of disordered eating with goal orientations and motivation climate in Female gymnasts and dancers,"Karin de Bruin, A.P., Bakker, F.C., & Oudejans, R.R.D.",2009,Psychology of Sport and Exercise,Netherlands,Europe,Cross-sectional studies,94,Athletes,Female,N.A.,Only high level aesthetic performers who did not participate in additional competitive sport activities were included. ,"M=15.1, SD=1.4",N.A.,"M=18.52, SD=1.86 ",[14.61-23.67],Individual sport,Aesthetic,"Dance, gymnastics",Multiple,Professional,N.A.,"M=16.7 hours per week, SD=6.7
Gymnasts M=18.1, SD=7.8
Dancers M=14.4, SD=3.28",N.A.,N.A.,N.A.,EDNOS,Dieting,N.A.,9-point-scale running from 1(never) to 9(always) with the following item Are you trying yo lose weight ?,DEAB,Restrictions,Dieting,N.A.,Dieting,Ego orientation,N.A.,Task and Ego Orientation in Sport Questionnaire (TEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Performance goal,Ego orientation,N.A.,Ego orientation,,N.A.,,,,Correlation,Correlation,94,"r=.33, p<.05",Simple analyses,+,NA,"Ego orientation and performance climate were related to more frequent dieting, using more pathogenic weight control methods, greater perfectionism and perceiving more weight related peer pressure. Having a high ego orientation means that a Female aesthetic performer is sgnificantly more likely to report indices of disordered eating. Non-significant correlations were found between task orientation and DE. With respect to performance climate, significant relationships were found with all DE variables. The present study also shows that a mastery climate is negatively related to disordered eating. Mastery climate explained some of the variance of dieting frequency. ","A limitation in the present study was that we used a relatively crude measure for pathogenic weight control with limited reliability. Another limitation was that we had to confine ourselves to self-reported height and weight because objective measurement of body composition was perceived as too threatening form some aesthetic performers. Self-report holds the risk of both under or overstimation. Another constraint in the present study was the composition of our sample. As the number of high level competitive gymnasts in the Netherlands is limited, we also investigated a group of high level Female dancers. ","In future studes focusing exclusively on relationships between eating disorders or disordered eating with achievement motivation, full versions of general or sport specific measures could be administered such as the Eating Disorder Inventory-2 or the Female Athlete Screening Tool for disordered eating. Future studies should continue to making an effort to include objective measurements by the researchers or recent actual data provided by medical staff members. The observed relationships of this study should be replicated in future studies using larger samples of various athletes at risk for disordered eating. Roberts (2001) stated that a high ego orientation is particularly detrimental if it is accompanied by a low task orientation. Future research should further investigate if this is also true for disordered eating. To gain a more complete understanding of the relationship between ego orientation and disordered eating, future studies could also include the more recent 2 by 2 framework which not only distinguishes between ego and task orientation but also between approach and avoidance achievmalet goals. We therefore recommaled that coaches and teachers should create a mastery climate with its emphasis on personal development and interpersonal cooperation. ",moderate
10.3390/sports12120315,17,225,"Eating disorders in Taekwondo athletes: the contribution of coach behavior, body satisfaction, and goal orientation","Baric, R., Erdeljac, T.",2024,Sports,Croatia,Europe,Cross-sectional studies,335,Athletes,Mixed,"132 Males
203 Females","Active practice of Taekwondo for at least 6 months and being a competitor in one of three competities categories: cadets, junior athletes or senior athletes","M=14.7, SD=3.06",[10-26],"M=19.25, SD=2.82",N.A.,Individual sport,Weight class,Taekwondo,One,Amateur,"17.3% top elite athletes, members of national selection and elite athletes
25 elite male
33 elite female
107 non-elite male
170 non-elite female",N.A.,N.A.,N.A.,N.A.,EDNOS,Eating disorders,N.A.,Croatian version of the Eating Attitudes Test (EAT_26),DEAB,Eating disorders,N.A.,N.A.,Eating disorders,Task orientation,N.A.,Croatian Task and Ego Orientation in Sport Questionnaire (CTEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Mastery goal,Task orientation,N.A.,Task orientation,,N.A.,,,,Spearman correlation,Correlation,335,"r=.16, p<.01",Simple analyses,+,NA,"Goal orientation, body dissatisfaction, and negative behavior and pressure from coaches significantly contribute to the risk of ED development in female and male cadet, junior and non-elite athletes, while body dissatisfaction seems to be the strongest predictor, especially in female athletes. ","The sample size, although it is realistic in relation to the number of active taekwondo competitors in Croatia. Self reported questionnaires. ","Including other measures, more adjusted to male ED symptoms. As the results showed the significance of the behavior of coaches in relation to athletes ED symptoms, it would be very interesting to investigate the transgenerational transfer of distorted values, beliefs and behaviors related to ED from coaches to athletes, i.e., to investigate coaches history of ED symptoms and their current behavior. ",weak
10.1016/j.scispo.2013.04.001,176,1854,Effect of achievement goals on Female aesthetic athletes disordered eating attitudes,"Scoffier-Mériaux, S., Corrion, K., & d'Arripe-Longueville, F.",2013,Science & Sports,France,Europe,Cross-sectional studies,196,Athletes,Female,N.A.,French high-level Female athletes aged from 13 to 20 years old; practiced gymnastics or figure skating intensively with a minimum of five years of experience in national or international competition,"M=17.06, SD=4.41",N.A.,N.A.,N.A.,Individual sport,Aesthetic,gymnastics; figure skating,Multiple,Professional,Elite (national or international competition),"M=8.65h/week, SD=5.55",N.A.,"M=8.75, SD=2.40",N.A.,EDNOS,Disordered eating attitudes,N.A.,Eating Attitudes Test (EAT-26),DEAB,Disordered eating,Disordered eating attitudes,N.A.,Disordered eating attitudes,Performance approach goal,N.A.,Achievement Goals Questionnaire ,Intrapersonal factor related to DEAB,Motivation,Achievement goals,Performance goal,Performance approach goal,N.A.,Performance approach goal,,N.A.,,,,Correlation,Correlation,196,"r=.52, p<.05",Simple analyses,+,NA,Performance approach goals were positive predictors of emerging disordered eating attitudes. Mastery avoidance goals were also positive predictors of disordered eating attitudes. Performance avoidance was a protective factor. A relationship between mastery approach and disturbed eating attitudes did not emerge in the structural equation model or the correlation table. ,"The data were self reported, suggesting the likelihood that social desirability was operative. The study was cross sectional, conclusions about causality cannot be inferred. The athletes scores on the eating psychopathology measure indicated relatively healthy attitudes, it is unclear whether the relationships observed would extend to athletes with more severe eating disorders. The generalization of the results is limited to the Female gender and an elite level. The participants ages and competition experience were not controlled. ","Future studies might investigate whether the relationships can be generalized to athletes in other types of sport or to other types of population, as well as the aforementioned variables that could play a moderation or mediation role in this relationship. Future studies could replicate with a sample of non-athletic controls, as well as a clinical sample in order to determine whether the mechanisms involved in the eating psychopathology of athletes are also operative in the general population and patients with eating disorders. The contextual and temporal dimensions could be considered, with future studies examining the current eating behavior, with a temporal control especially concerning the current goals. 
Programs could be adapted to encourage an orientation toward task mastery as a means to protect from disordered eating attitudes. ",strong
10.3390/sports12120315,17,232,"Eating disorders in Taekwondo athletes: the contribution of coach behavior, body satisfaction, and goal orientation","Baric, R., Erdeljac, T.",2024,Sports,Croatia,Europe,Cross-sectional studies,335,Athletes,Mixed,"132 Males
203 Females","Active practice of Taekwondo for at least 6 months and being a competitor in one of three competities categories: cadets, junior athletes or senior athletes","M=14.7, SD=3.06",[10-26],"M=19.25, SD=2.82",N.A.,Individual sport,Weight class,Taekwondo,One,Amateur,"17.3% top elite athletes, members of national selection and elite athletes
25 elite male
33 elite female
107 non-elite male
170 non-elite female",N.A.,N.A.,N.A.,N.A.,EDNOS,Eating disorders,N.A.,Croatian version of the Eating Attitudes Test (EAT_26),DEAB,Eating disorders,N.A.,N.A.,Eating disorders,Task orientation,N.A.,Croatian Task and Ego Orientation in Sport Questionnaire (CTEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Mastery goal,Task orientation,N.A.,Task orientation,,N.A.,,,,Spearman correlation,Correlation,132 (male),"r=.19, p<.05",Simple analyses,+,NA,"Goal orientation, body dissatisfaction, and negative behavior and pressure from coaches significantly contribute to the risk of ED development in female and male cadet, junior and non-elite athletes, while body dissatisfaction seems to be the strongest predictor, especially in female athletes. ","The sample size, although it is realistic in relation to the number of active taekwondo competitors in Croatia. Self reported questionnaires. ","Including other measures, more adjusted to male ED symptoms. As the results showed the significance of the behavior of coaches in relation to athletes ED symptoms, it would be very interesting to investigate the transgenerational transfer of distorted values, beliefs and behaviors related to ED from coaches to athletes, i.e., to investigate coaches history of ED symptoms and their current behavior. ",weak
10.3390/sports12120315,17,224,"Eating disorders in Taekwondo athletes: the contribution of coach behavior, body satisfaction, and goal orientation","Baric, R., Erdeljac, T.",2024,Sports,Croatia,Europe,Cross-sectional studies,335,Athletes,Mixed,"132 Males
203 Females","Active practice of Taekwondo for at least 6 months and being a competitor in one of three competities categories: cadets, junior athletes or senior athletes","M=14.7, SD=3.06",[10-26],"M=19.25, SD=2.82",N.A.,Individual sport,Weight class,Taekwondo,One,Amateur,"17.3% top elite athletes, members of national selection and elite athletes
25 elite male
33 elite female
107 non-elite male
170 non-elite female",N.A.,N.A.,N.A.,N.A.,EDNOS,Eating disorders,N.A.,Croatian version of the Eating Attitudes Test (EAT_26),DEAB,Eating disorders,N.A.,N.A.,Eating disorders,Ego orientation,N.A.,Croatian Task and Ego Orientation in Sport Questionnaire (CTEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Performance goal,Ego orientation,N.A.,Ego orientation,,N.A.,,,,Spearman correlation,Correlation,335,"r=-.028, N.S.",Simple analyses,NS,NA,"Goal orientation, body dissatisfaction, and negative behavior and pressure from coaches significantly contribute to the risk of ED development in female and male cadet, junior and non-elite athletes, while body dissatisfaction seems to be the strongest predictor, especially in female athletes. ","The sample size, although it is realistic in relation to the number of active taekwondo competitors in Croatia. Self reported questionnaires. ","Including other measures, more adjusted to male ED symptoms. As the results showed the significance of the behavior of coaches in relation to athletes ED symptoms, it would be very interesting to investigate the transgenerational transfer of distorted values, beliefs and behaviors related to ED from coaches to athletes, i.e., to investigate coaches history of ED symptoms and their current behavior. ",N.S.
10.3390/sports12120315,17,239,"Eating disorders in Taekwondo athletes: the contribution of coach behavior, body satisfaction, and goal orientation","Baric, R., Erdeljac, T.",2024,Sports,Croatia,Europe,Cross-sectional studies,335,Athletes,Mixed,"132 Males
203 Females","Active practice of Taekwondo for at least 6 months and being a competitor in one of three competities categories: cadets, junior athletes or senior athletes","M=14.7, SD=3.06",[10-26],"M=19.25, SD=2.82",N.A.,Individual sport,Weight class,Taekwondo,One,Amateur,"17.3% top elite athletes, members of national selection and elite athletes
25 elite male
33 elite female
107 non-elite male
170 non-elite female",N.A.,N.A.,N.A.,N.A.,EDNOS,Eating disorders,N.A.,Croatian version of the Eating Attitudes Test (EAT_26),DEAB,Eating disorders,N.A.,N.A.,Eating disorders,Task orientation,N.A.,Croatian Task and Ego Orientation in Sport Questionnaire (CTEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Mastery goal,Task orientation,N.A.,Task orientation,,N.A.,,,,Spearman correlation,Correlation,203 (female),"r=.07, N.S.",Simple analyses,NS,NA,"Goal orientation, body dissatisfaction, and negative behavior and pressure from coaches significantly contribute to the risk of ED development in female and male cadet, junior and non-elite athletes, while body dissatisfaction seems to be the strongest predictor, especially in female athletes. ","The sample size, although it is realistic in relation to the number of active taekwondo competitors in Croatia. Self reported questionnaires. ","Including other measures, more adjusted to male ED symptoms. As the results showed the significance of the behavior of coaches in relation to athletes ED symptoms, it would be very interesting to investigate the transgenerational transfer of distorted values, beliefs and behaviors related to ED from coaches to athletes, i.e., to investigate coaches history of ED symptoms and their current behavior. ",N.S.
10.1002/erv.1113,83,871,"Eating disordered behaviours in Portuguese athletes: the influence of personal, sport, and psychological variables","Gomes, A.R., Martins, C., & Silva, L.",2011,European Eating Disorders Review,Portugal,Europe,Cross-sectional studies,290,Athletes,Mixed,N.A.,Athletes between 14 and 30 year of age,"M=17.8, SD=3.49",N.A.,"M=21.94, SD=2.62",N.A.,Mixed sport,Multisport ,Athletics; karate; swimming; taekwondo; basketball; handball; volleyball,Multiple,Amateur,"Top division (38.8%)
Regional or national levels",N.A.,N.A.,N.A.,N.A.,EDNOS,Eating disorders,N.A.,Eating Disorder Examination Questionnaire (EDE-Q),DEAB,Eating disorders,N.A.,N.A.,Eating disorders,Task orientation,N.A.,Task and Ego Orientation in Sport Questionnaire (TEOSQ),Intrapersonal factor related to DEAB,Motivation,Achievement goals,Mastery goal,Task orientation,N.A.,Task orientation,,N.A.,,,,Correlation,Correlation,290,"r=.10, p<.10",Simple analyses,NS,NA,"The EDE-Q global score was positively associated with weight-related coach pressure, anxiety, taske orientation, impression motivation and threat perception, and negatively associated with less satisfaction with body shape and physical appearance. Eating behaviour was predicted by lower satisfaction with body shape and physical appearance, and higher anxiety and impression motivation. ","Data were based on athletes self-report, which could have resulted in under-reporting of eating disordered behaviours. A better discrimination between sports according to their requirements needs to be introduced in order to better differentiate the demands and soecific characteristics of each sport. It is vital to further explore the impact of psychological factors on eating disordered behaviours.","It is important to assess athletes reactions in competition, the way they perceive themselves, and the way they want others to perceive them. If there is a better comprehension of these factors, then prevention of eating problems and promotion of better experiences in sport becomes easier to achieve.",N.S.
